"Final version: March 17, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Appendix 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data used for Figure 2 in Kirchman. 2016.   Growth rates of microbes in the oceans. Annual Review of Marine Science, v.8  doi: 10.1146/annurev-marine-122414-033938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Growth Rates of Heterotrophic Bacteria Estimated by the Leucine-Biomass Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I used production and biomass data as reported in the paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If necessary, the following conversion factors were used:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C/cell,10 fgC/cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,leucine conversion,1.5 kgC/mole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Conversion factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Growth,Leucine ,C per cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Dates,Lat,Lon,Rate (/d),kgC/mol,fgC/cell,Comments,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,15.25,63.50,0.10,1.50,15.00,TTN-045,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,14.48,64.90,0.06,1.50,15.00,TTN-045,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,10.01,64.89,0.10,1.50,15.00,TTN-045,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,,,,1.50,15.00,TTN-049,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,18.49,57.30,0.31,1.50,15.00,TTN-049,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,18.13,58.00,0.60,1.50,15.00,TTN-049,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,17.14,59.96,0.17,1.50,15.00,TTN-049,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,16.03,62.00,0.19,1.50,15.00,TTN-049,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,14.45,65.00,0.15,1.50,15.00,TTN-049,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,10.00,64.90,0.30,1.50,15.00,TTN-049,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,,,0.15,1.50,15.00,TTN-054,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,18.08,58.00,0.09,1.50,15.00,TTN-054,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,17.20,59.77,0.05,1.50,15.00,TTN-054,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,16.03,62.00,0.11,1.50,15.00,TTN-054,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,14.45,65.00,0.13,1.50,15.00,TTN-054,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,10.00,64.90,0.10,1.50,15.00,TTN-054,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic,,,72,0.02,1.50,12.40,SBI,"Kirchman, D. L., V. Hill, M. T. Cottrell, R. Gradinger, R. R. Malmstrom, and A. Parker. 2009. Standing stocks, production, and respiration of phytoplankton and heterotrophic bacteria in the western Arctic Ocean. Deep Sea Res II 56: 1237-1248.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic,,,72,0.04,1.50,12.40,SBI,"Kirchman, D. L., V. Hill, M. T. Cottrell, R. Gradinger, R. R. Malmstrom, and A. Parker. 2009. Standing stocks, production, and respiration of phytoplankton and heterotrophic bacteria in the western Arctic Ocean. Deep Sea Res II 56: 1237-1248.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic,,,72,0.02,1.50,12.40,SBI,"Kirchman, D. L., V. Hill, M. T. Cottrell, R. Gradinger, R. R. Malmstrom, and A. Parker. 2009. Standing stocks, production, and respiration of phytoplankton and heterotrophic bacteria in the western Arctic Ocean. Deep Sea Res II 56: 1237-1248.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic,,,72,0.06,1.50,12.40,SBI,"Kirchman, D. L., V. Hill, M. T. Cottrell, R. Gradinger, R. R. Malmstrom, and A. Parker. 2009. Standing stocks, production, and respiration of phytoplankton and heterotrophic bacteria in the western Arctic Ocean. Deep Sea Res II 56: 1237-1248.",,,,,,,,,,,,,,,,,,,,,,,,,,,
