"Final version: March 17, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Appendix 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data used for Figure 2 in Kirchman. 2016.   Growth rates of microbes in the oceans. Annual Review of Marine Science, v.8  doi: 10.1146/annurev-marine-122414-033938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Growth Rates of Heterotrophic Bacteria Estimated by the Leucine-Biomass Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I used production and biomass data as reported in the paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If necessary, the following conversion factors were used:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C/cell,10 fgC/cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,leucine conversion,1.5 kgC/mole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Conversion factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Growth,Leucine ,C per cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Dates,Lat,Lon,Rate (/d),kgC/mol,fgC/cell,Comments,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,,,0.06,1.50,15.00,TTN-043,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,18.08,57.99,0.19,1.50,15.00,TTN-043,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,17.20,59.77,0.07,1.50,15.00,TTN-043,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,16.00,62.00,0.10,1.50,15.00,TTN-043,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,14.45,65.00,0.08,1.50,15.00,TTN-043,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,10.00,64.90,0.08,1.50,15.00,TTN-043,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,,,0.04,1.50,15.00,TTN-045,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,18.08,58.03,0.05,1.50,15.00,TTN-045,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,17.26,59.75,0.09,1.50,15.00,TTN-045,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Sea,,16.00,62.00,0.13,1.50,15.00,TTN-045,"Ducklow, H. W., D. C. Smith, L. Campbell, M. R. Landry, H. L. Quinby, G. F. Steward, and F. Azam. 2001. Heterotrophic bacterioplankton in the Arabian Sea: Basinwide response to year-round high primary productivity. Deep-Sea Res II 48: 1303-1323.",,,,,,,,,,,,,,,,,,,,,,,,,,,
